Curanilahue,-73.3500000,-37.4666667
Victoria,-72.3333333,-38.2166667
Panguipulli,-72.3333333,-39.6333333
Quintero,-71.5333333,-32.7833333
Curacavi,-71.1500000,-33.4000000
Graneros,-70.7266667,-34.0647222
Calbuco,-73.1333333,-41.7666667
Canete,-73.3833333,-37.8000000
Chimbarongo,-71.0500000,-34.7000000
La Ligua,-71.2166667,-32.4500000
Arauco,-73.3166667,-37.2500000
Lota,-73.1560560,-37.0870730
Concon,-71.5166667,-32.9166667
San Clemente,-71.4833333,-35.5500000
Castro,-73.8000000,-42.4666667
Puerto Varas,-72.9833333,-41.3166667
San Javier,-71.7500000,-35.6000000
Molina,-71.2833333,-34.1166667
Penalolen,-70.5333333,-33.4833333
Limache,-71.2833333,-32.9833333
Constitucon,-72.4166667,-35.3333333
San Vicente,-71.1333333,-34.5000000
Calera,-71.2166667,-32.7833333
Angol,-72.7166667,-37.8000000
San Carlos,-71.9580556,-36.4247222
Vallenar,-70.7500000,-28.5666667
Tome,-72.9500000,-36.6166667
Villarrica,-72.2166667,-39.2666667
Machali,-70.6511111,-34.1825000
Maule,-71.7000000,-35.5333333
Coyhaique,-72.0666667,-45.5666667
Rengo,-70.8666667,-34.4166667
Los Andes,-70.6166667,-32.8166667
Padre Hurtado,-70.8333333,-33.5666667
San Fernando,-70.9666667,-34.5833333
Talagante,-70.9333333,-33.6666667
Padre Las Casas,-72.6000000,-38.7666667
Paine,-70.7500000,-33.8166667
San Felipe,-70.7333333,-32.7500000
Pedro Aguirre Cerda,-70.6780860,-33.4924550
Buin,-70.7500000,-33.7333333
Huechuraba,-70.6666667,-33.3500000
Ovalle,-71.2000000,-30.5833333
La Granja,-70.5833333,-33.5833333
Lo Barnechea,-70.5166667,-33.3500000
Coronel,-73.1333333,-37.0166667
Lampa,-70.9000000,-33.2833333
Alto Hospicio,-70.1166667,-20.2500000
San Miguel,-70.6666667,-33.5000000
Macul,-70.5666667,-33.5000000
Quinta Normal,-70.7000000,-33.4500000
Conchali,-70.6166667,-33.3500000
Villa Alemana,-71.3666667,-33.0500000
Melipilla,-71.2166667,-33.7000000
Punta Arenas,-70.9336111,-53.1669444
Independencia,-70.6549320,-33.4219880
Cerro Navia,-70.7166667,-33.4166667
San Pedro de la Paz,-73.1166667,-36.8333333
Providencia,-70.6166667,-33.4333333
Talcahuano,-73.1166667,-36.7166667
Renca,-70.7333333,-33.4000000
Curico,-71.2333333,-34.9833333
Quilpue,-71.4500000,-33.0500000
Copiapo,-70.3166667,-27.3666667
El Bosque,-70.7000000,-33.5666667
Osorno,-73.1500000,-40.5666667
Valdivia,-73.2333333,-39.8000000
Colina,-70.6833333,-33.2000000
La Pintana,-70.6166667,-33.5833333
Recoleta,-70.6391920,-33.4081480
Calama,-68.9166667,-22.4666667
Chillan,-72.1166667,-36.6000000
Estacion Central,-70.7029760,-33.4633150
Los Angeles,-72.3500000,-37.4666667
Iquique,-70.1666667,-20.2166667
Talca,-71.6666667,-35.4333333
Concepcion,-73.0500000,-36.8333333
Arica,-70.3144444,-18.4750000
La Serena,-71.2500000,-29.9000000
Nunoa,-70.6000000,-33.4666667
Pudahuel,-70.7166667,-33.4333333
Quilicura,-70.7500000,-33.3666667
Coquimbo,-71.3333333,-29.9500000
Rancagua,-70.7397222,-34.1652778
Penco,-72.9833333,-36.7333333
Puerto Montt,-72.9333333,-41.4666667
Temuco,-72.6666667,-38.7500000
Valparaiso,-71.6163889,-33.0458333
Las Condes,-70.5833333,-33.4166667
San Bernardo,-70.7166667,-33.6000000
Vina del Mar,-71.5333333,-33.0333333
La Florida,-70.5666667,-33.5500000
Antofagasta,-70.4000000,-23.6333333
Santiago,-70.6666667,-33.4500000
Maipu,-70.7666667,-33.5166667
Puente Alto,-70.5833333,-33.6166667
